"sequenceId","deploymentid","samplingpoint","projectname","organisationname","isblank","issetuppickup","isunknown","sequencestart","sequenceend","countassets"
"d33d654c-5e5d-420e-be9f-cf8df5a95075","05c05f7b-6c38-4a06-a3b0-145de226c8ad","Mica Viane","MICA - Muskusrat - INBO- Lifewatch  - Management of invasive Muskrat  Coypu in Europe","INBO",,,,"""2019:12:07 06:12:16""","""2019:12:07 06:13:23""","20"
"3874d99d-445b-451b-afb4-bd545a3e3c29","05c05f7b-6c38-4a06-a3b0-145de226c8ad","Mica Viane","MICA - Muskusrat - INBO- Lifewatch  - Management of invasive Muskrat  Coypu in Europe","INBO",,,,"""2020:02:07 01:47:45""","""2020:02:07 01:47:51""","10"
"46382b6a-20e9-4246-87cc-450a2c1a6d4c","05c05f7b-6c38-4a06-a3b0-145de226c8ad","Mica Viane","MICA - Muskusrat - INBO- Lifewatch  - Management of invasive Muskrat  Coypu in Europe","INBO",,,,"""2019:12:08 02:21:01""","""2019:12:08 02:21:07""","10"
"a094277a-901e-47a2-8d8e-fce000cd2b12","05c05f7b-6c38-4a06-a3b0-145de226c8ad","Mica Viane","MICA - Muskusrat - INBO- Lifewatch  - Management of invasive Muskrat  Coypu in Europe","INBO",,,,"""2019:11:26 20:52:59""","""2019:11:26 20:53:04""","10"
"9478deb1-f11d-4c73-8a36-bf6221bb8787","05c05f7b-6c38-4a06-a3b0-145de226c8ad","Mica Viane","MICA - Muskusrat - INBO- Lifewatch  - Management of invasive Muskrat  Coypu in Europe","INBO",,,,"""2019:11:26 20:35:16""","""2019:11:26 20:35:22""","10"
"c005abaa-6906-466e-94b4-2b7511b5c20a","05c05f7b-6c38-4a06-a3b0-145de226c8ad","Mica Viane","MICA - Muskusrat - INBO- Lifewatch  - Management of invasive Muskrat  Coypu in Europe","INBO",,,,"""2019:11:29 23:23:04""","""2019:11:29 23:23:09""","10"
"636e9d24-50da-4065-82c8-21af628f6ac9","05c05f7b-6c38-4a06-a3b0-145de226c8ad","Mica Viane","MICA - Muskusrat - INBO- Lifewatch  - Management of invasive Muskrat  Coypu in Europe","INBO",,,,"""2019:11:29 22:16:10""","""2019:11:29 22:16:15""","10"
"1a01ee8d-1fce-43eb-8e33-cd99cd823f32","05c05f7b-6c38-4a06-a3b0-145de226c8ad","Mica Viane","MICA - Muskusrat - INBO- Lifewatch  - Management of invasive Muskrat  Coypu in Europe","INBO",,,,"""2019:11:30 06:57:22""","""2019:11:30 06:57:28""","10"
"ed740547-c2f4-4945-87c1-18588dc57f92","05c05f7b-6c38-4a06-a3b0-145de226c8ad","Mica Viane","MICA - Muskusrat - INBO- Lifewatch  - Management of invasive Muskrat  Coypu in Europe","INBO","false","false","true","""2019:12:01 09:17:33""","""2019:12:01 09:17:39""","10"
"08af1828-6748-447d-be8a-5cfd52fb7d32","05c05f7b-6c38-4a06-a3b0-145de226c8ad","Mica Viane","MICA - Muskusrat - INBO- Lifewatch  - Management of invasive Muskrat  Coypu in Europe","INBO",,,,"""2019:12:02 00:58:10""","""2019:12:02 00:58:15""","10"
